,Date,ORCL,SQ,NVDA
485,2017-10-24,47.720573,32.709998999999996,196.952652
486,2017-10-25,47.453236,32.900002,191.97628799999998
487,2017-10-26,47.882889,34.110001000000004,193.988663
488,2017-10-27,48.579887,35.200001,200.10501100000002
489,2017-10-30,48.388931,35.75,202.06781
490,2017-10-31,48.598991,37.189999,205.011948
491,2017-11-01,48.350731,36.470001,205.398575
492,2017-11-02,48.007011,36.07,204.149536
493,2017-11-03,47.911541,36.889998999999996,206.875626
494,2017-11-06,48.121586,37.18,207.80746499999998
495,2017-11-07,48.207516,36.759997999999996,210.186554
496,2017-11-08,48.255257,36.709998999999996,207.341553
497,2017-11-09,47.014034,37.959998999999996,203.534943
498,2017-11-10,47.090401,39.209998999999996,214.26086400000003
499,2017-11-13,47.166794,39.98,210.78141800000003
500,2017-11-14,46.97583,39.740002000000004,212.317902
501,2017-11-15,46.613014,40.66,208.15438799999998
502,2017-11-16,46.97583,41.900002,209.770248
503,2017-11-17,46.727585,44.18,209.522415
504,2017-11-20,46.803974,45.209998999999996,212.218765
505,2017-11-21,46.431599,48.060001,214.171646
506,2017-11-22,46.383869,48.810001,213.209396
507,2017-11-24,46.794422,48.860001000000004,215.22314500000002
508,2017-11-27,46.670303000000004,41.02,212.425735
509,2017-11-28,46.794422,42.549999,209.023209
510,2017-11-29,46.32658,39.130001,194.84759499999998
511,2017-11-30,46.842171,39.220001,199.103271
512,2017-12-01,47.367306,38.220001,196.09750400000001
513,2017-12-04,46.212002000000005,36.869999,185.165695
514,2017-12-05,45.820541,37.599998,186.237076
515,2017-12-06,46.231097999999996,37.610001000000004,187.744904
516,2017-12-07,46.32658,38.73,190.45306399999998
517,2017-12-08,47.357742,38.09,189.957047
518,2017-12-11,48.188423,38.299999,193.101685
519,2017-12-12,48.112038,38.080002,189.312241
520,2017-12-13,47.787407,36.189999,184.68956
521,2017-12-14,47.921082,37.009997999999996,184.977249
522,2017-12-15,46.116524,37.029999,190.02650500000001
523,2017-12-18,45.553191999999996,37.75,196.31575
524,2017-12-19,45.658226,36.919998,194.54007
525,2017-12-20,45.734604,35.66,195.224518
526,2017-12-21,45.142628,35.869999,194.321808
527,2017-12-22,45.219009,35.139998999999996,193.706802
528,2017-12-26,45.285847,35.049999,195.859421
529,2017-12-27,45.238106,35.75,195.591583
530,2017-12-28,45.371784000000005,35.130001,195.819748
531,2017-12-29,45.142628,34.669998,191.950974
532,2018-01-02,44.522018,36.169998,197.75415
533,2018-01-03,45.553191999999996,37.310001,210.769104
534,2018-01-04,46.001948999999996,38.099998,211.88011200000003
535,2018-01-05,46.278843,41.139998999999996,213.67562900000001
536,2018-01-08,46.765781,40.759997999999996,220.22280899999998
537,2018-01-09,47.024582,40.880001,220.16326899999999
538,2018-01-10,46.775364,40.84,221.88935899999998
539,2018-01-11,46.919144,42.299999,222.286179
540,2018-01-12,47.455906,41.25,221.194946
541,2018-01-16,47.532589,39.32,218.34797700000001
542,2018-01-17,48.184371999999996,40.060001,222.921036
543,2018-01-18,48.146034,40.27,222.64327999999998
544,2018-01-19,48.481518,42.560001,228.26786800000002
545,2018-01-22,48.606121,45.290001000000004,231.819229
546,2018-01-23,48.999107,45.009997999999996,236.99743700000002
547,2018-01-24,49.315418,44.32,233.91233799999998
548,2018-01-25,49.459194000000004,45.119999,234.457916
549,2018-01-26,50.561485,45.970001,241.38206499999998
550,2018-01-29,49.785084000000005,45.43,244.873886
551,2018-01-30,48.845749,45.52,240.776917
552,2018-01-31,49.449612,46.91,243.832275
553,2018-02-01,49.487953000000005,44.450001,238.574722
554,2018-02-02,48.05019,43.610001000000004,231.65058900000002
555,2018-02-05,46.094822,41.02,211.98924300000002
556,2018-02-06,47.350468,41.610001000000004,223.77415499999998
557,2018-02-07,46.842464,41.669998,226.96835299999998
558,2018-02-08,44.896687,39.5,215.77864100000002
559,2018-02-09,45.749756,39.57,230.222076
560,2018-02-12,46.152332,39.919998,226.204544
561,2018-02-13,46.478226,42.110001000000004,230.76771499999998
562,2018-02-14,47.398392,41.849998,239.48735
563,2018-02-15,48.539024,44.290001000000004,244.52670299999997
564,2018-02-16,48.606121,44.110001000000004,241.88797000000002
