Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
11/8/2017 16:00:00,45.46,148.21,57.91,131.05,169.05,94.55,472.2,93.49,141.32,210.77,229.83,113.13,144.89,116.12,152.72,154.92
11/9/2017 16:00:00,45.07,148.2,57.36,130.68,169.11,94.42,466.6,92.72,140.35,211.56,228.39,112.55,143.83,115.13,151.82,155.25
11/10/2017 16:00:00,44.88,146.54,57.04,132.05,171.36,93.66,465.83,93.57,139.56,211.07,227.45,113.23,143.89,114.67,150.54,155.16
11/13/2017 16:00:00,44.75,145.91,56.64,135.08,171.46,93.32,465.11,93.41,139.76,212.66,228.22,114.81,143.92,114.55,150.04,156.78
11/14/2017 16:00:00,44.22,147.31,56.93,135.31,171.44,92.83,470.45,94.48,139.49,211.71,229.33,114.07,144.96,114.35,149.49,158.4
11/15/2017 16:00:00,44.11,147.76,56.7,132.78,169,92.57,470.5,94.35,139.1,209.86,227.4,112.89,144.26,113.39,148.93,157.36
11/16/2017 16:00:00,44.77,147.22,57.24,134.54,170.98,92.46,474.02,95.53,138.87,211.13,229.42,113.7,147.04,114.01,148.4,157.29
11/17/2017 16:00:00,45.42,148.72,56.93,133.51,170.98,92.65,473.99,95.98,138,209.9,229.36,112.94,145.45,113.83,145.87,156.04
11/20/2017 16:00:00,46.2,150,56.81,134.59,172.28,92.62,474.77,96.3,137.93,210.25,231.49,113.2,146.57,114.88,146.22,155.92
11/21/2017 16:00:00,46.18,151.89,57.26,135.15,173.42,93.62,481.36,97.73,138.34,212.6,234.09,113.92,148.01,115.34,146.59,156.21
11/22/2017 16:00:00,47.1,153.03,57.14,134.95,172.48,93.29,478.94,97.72,137.29,211.22,231.58,113.77,147.11,115.27,145.31,155.18
11/24/2017 13:00:00,47.01,154.22,56.8,135.39,171.62,93.64,479.74,97.88,138.01,212.51,231.38,113.14,147.63,116.1,147.3,156.03
11/27/2017 16:00:00,47.66,156.12,55.91,135.67,172.61,92.81,481.96,97.97,138.1,212.4,234,114.54,147.5,115.85,148.23,157
11/28/2017 16:00:00,48.82,156.1,56.66,136.96,173.65,94.05,493.06,99.75,140.02,216.14,235.63,115.19,148.04,117.34,148.64,157.79
11/29/2017 16:00:00,49.9,154.21,57.51,139.22,177.53,94.91,500.82,101.27,139.81,222.88,238.01,119.04,146.95,117.01,146.3,157.77
11/30/2017 16:00:00,50.89,154.95,57.82,139.29,184.43,97.56,501.19,102.92,139.33,228.17,243.14,121.45,148.01,116.85,143.93,158.04
12/1/2017 16:00:00,51.25,155,57.32,139.64,185.13,97.57,502.08,102.79,139.98,226.78,241.15,120.31,146.57,115.93,143.61,157.47
12/4/2017 16:00:00,51.72,154.86,58.76,142.99,189.56,97.53,513.5,102.82,139.01,221.42,239.26,123.72,147.15,117.56,138.97,155.97
12/5/2017 16:00:00,50.92,155.73,59.34,144.66,187.82,98.27,512.12,101.64,139.67,220.09,238.26,120.37,147.67,116.75,140.76,155.64
12/6/2017 16:00:00,50.68,156.89,59.28,145.05,187.22,97.59,511.82,101.79,141.06,219.94,238.67,118.29,148.27,116.19,141.8,157.78
12/7/2017 16:00:00,50.42,157.68,59.14,144.24,186.2,97.86,512.41,102.74,140.01,220.15,240.3,119.73,148.6,116.11,144.11,158.18
12/8/2017 16:00:00,51.09,158.13,58.61,145.23,188.07,99.55,515.49,102.75,140.59,223.91,238.13,119.56,150.53,115.92,142.47,159.03
12/11/2017 16:00:00,51.84,156.2,59.07,145.05,188.86,99.72,512.13,101.85,141.14,222.77,239.3,118.05,150.69,115.68,144.05,159.25
12/12/2017 16:00:00,53.19,156.92,59.27,145.15,188.3,99.07,517.73,102.64,142.6,222.49,236.58,118.16,152.1,115.89,143.51,157.07
12/13/2017 16:00:00,52.89,157.33,59.49,146.61,188.28,99.99,512.55,101.9,142.89,224.35,239.11,118.4,151.42,116.25,143.73,156.47
12/14/2017 16:00:00,52.34,158.26,59.7,146.26,186.53,99.55,506.75,101.59,141.65,221.25,238.08,116.84,151.21,113.82,143.64,157.98
12/15/2017 16:00:00,52.67,156.09,58.29,147.63,192.73,99.92,511.87,102.57,142.46,221.82,238,118,152.66,115.09,142.76,158.43
12/18/2017 16:00:00,53.25,155.7,58.03,148.1,192.31,99.98,518.86,103.44,141.8,222.67,238.42,118.81,151.72,116.13,142.84,156.35
12/19/2017 16:00:00,52.83,156.3,58.01,148.05,188.33,99.14,515.82,103.14,141.78,222.04,238.39,119,152.22,116.31,141.86,154.1
12/20/2017 16:00:00,52.77,155.96,57.73,148.39,187.51,100.72,514.55,103.76,141.16,222.38,236.92,118.33,151.75,116.16,140.19,153.64
12/21/2017 16:00:00,53.01,154.83,57.58,148.78,186.8,100.08,513.59,104.6,141.06,221.69,234.78,118.58,154.2,116.18,139.61,154.48
12/22/2017 16:00:00,53.19,155,57.3,149.52,186.63,100.89,512.12,105.24,140.12,220,234.73,118.64,153.89,116.19,140.66,154.54
12/26/2017 16:00:00,53.22,156.46,57.14,149.69,186.55,101.64,513.72,105.36,140.09,219.6,235.45,118.26,152.99,116.28,140.91,154
12/27/2017 16:00:00,53.28,154.9,57.27,149.29,186.3,102.06,514.32,105.02,140.57,220.42,236.2,119.08,153.32,116.49,141.56,155.29
12/28/2017 16:00:00,53.43,153.88,57.81,149,186.62,101.96,517.98,105.34,140.56,222.77,235.72,119.05,153.57,117.17,142.91,156.35
12/29/2017 16:00:00,52.93,153.51,57.43,148.74,186.12,101.15,513.71,104.93,139.72,220.46,235.37,119.15,153.09,116.82,142.67,156.19
1/2/2018 16:00:00,53.53,155.15,57.63,144.99,188.32,101.75,508.97,103.08,139.23,221.16,235.64,123.67,153.84,118,141.13,155.09
1/3/2018 16:00:00,52.43,155.35,58.71,143.43,190.58,102.43,514.34,104.49,140.56,223.48,235.63,126.41,154.55,118.19,141.68,151.8
1/4/2018 16:00:00,52.6,154.79,58.93,145.69,189.1,102.15,521.13,105.31,140.55,224.45,238.71,127.23,156.38,117.47,139.61,151.02
1/5/2018 16:00:00,52.48,154.2,59.61,145.73,187.75,102.16,525.57,107.23,141.71,228.73,240.57,127.62,157.67,118.92,140.51,151.71
1/8/2018 16:00:00,52.39,154.96,59.31,146.44,188.48,102.06,529.49,109.88,141.89,224.76,239.79,129.17,158.93,118.72,142.01,152.96
1/9/2018 16:00:00,51.61,153.5,59.18,146.16,186.29,101.72,533.94,111.75,144.14,225.88,241.28,129.11,159.46,118.22,141.05,151.84
1/10/2018 16:00:00,51.69,152.96,59.82,144.43,185.42,102.08,531.57,112.27,143.97,224.2,241.14,129.79,158.9,116.61,137.61,150.59
1/11/2018 16:00:00,52.11,152.18,60,141.99,189.38,102.37,537.92,113.06,144.79,225.39,242.31,133.46,159.11,117.57,134.97,150.5
1/12/2018 16:00:00,51.86,153.99,60.4,140.96,191.84,104.97,555.53,115.35,145.76,228.64,244.47,134.09,160.11,118.17,133,150.32
1/16/2018 16:00:00,51.66,156.76,60.56,142.41,191.53,103.5,563,114.47,146.86,232.9,244.74,132.88,157.96,116.64,135.63,150.54
1/17/2018 16:00:00,51.72,156.77,60.66,144.32,192.29,106.16,576.51,116.38,146.98,238.43,248.11,134.01,160.21,114.5,136.64,151.88
1/18/2018 16:00:00,51.55,156.64,61.09,143.14,191.51,105.29,579.22,115.79,146.92,243.16,245.91,133.59,160.94,118.41,135.19,150.78
1/19/2018 16:00:00,51.91,158.81,61.26,143.86,192.29,105.63,590.26,117.35,147.36,243.35,248.18,133.08,161.75,118.44,137.62,150.16
1/22/2018 16:00:00,53.46,157.67,61.41,144.48,194.38,106.66,593.26,117.4,148.14,243.56,247.3,132.86,161.43,116.78,139.24,150.02
1/23/2018 16:00:00,53.23,156.59,61.69,143.52,193.42,106.9,589.68,118.08,141.83,245.21,246.31,132.07,160.88,117.25,141.2,152.72
